"订单号";"充电站编号";"车辆编号";"接口号";"开始充电时间";"结束充电时间";"充电度数";"费用"
111708230;17034;1132434;1;"17:20";"22:20";"72v";1.5
111708231;17032;1132428;1;"13:15";"23:15	";"48v";5
111708232;17037;1132431;1;"19:00";"23:00	";"48v";2
111708233;17029;1132436;1;"18:53";"0:53";"48v";3
111708234;17031;1132430;1;"11:28";"14:28	";"48v";1.5
111708235;17038;1132435;2;"9:58";"15:58";"60v";3
111708236;17035;1132432;2;"14:37";"6:37";"72v";6
111708237;17039;1132426;2;"13:00";"16:00	";"48v";2
111708238;17028;1132438;2;"15:17";"21:17	";"60v";3
111708239;17030;1132439;3;"20:15";"8:15";"72v";4
111708240;17036;1132427;2;"22:00";"6:00";"60v";4
111708241;17033;1132425;3;"12:00";"15:00	";"72v";1.5
111708242;17042;1132433;1;"16:40";"22:40	";"72v";3
111708243;17040;1132437;3;"13:51";"22:51	";"60v";4.5
111708244;17041;1132429;2;"14:35";"0:35";"60v";5
